Timestamp,Date,Distance,k,Ax,Ay,Az,Xx,Xy,Xz,TRx,TRy,TRz,BRx,BRy,BRz,Bx,By,Bz,Cx,Cy,Cz,Ux,Uy,Uz,Vx,Vy,Vz,Wx,Wy,Wz,L_Roll,L_Tilt,R_Roll,R_Tilt
1775398769.509,2026-04-05 19:49:29,20.646,0.526,-70.518,60.719,345.459,-49.965,60.104,347.32,-71.34,33.835,345.874,-69.695,87.604,345.044,-49.789,31.814,347.479,-50.124,85.612,347.176,20.729,-28.906,2.02,0.999,-0.03,0.019,-0.336,53.798,-0.303,-1.735,178.618,0.356,179.545
1775398770.04,2026-04-05 19:49:30,851.586,7.751,-70.497,60.712,345.379,-241.951,164.802,1173.007,-71.309,33.828,345.817,-69.685,87.596,344.942,-241.37,-240.309,1221.458,-241.444,-188.045,1215.207,-170.873,-301.021,876.079,0.999,-0.03,0.017,-0.075,52.264,-6.251,-1.713,178.653,22.554,158.08
1775398770.552,2026-04-05 19:49:30,20.64,0.526,-70.543,60.732,345.614,-49.977,60.111,347.254,-71.367,33.849,346.056,-69.719,87.616,345.171,-49.797,31.799,347.323,-50.139,85.598,347.192,20.746,-28.933,1.709,0.999,-0.03,0.02,-0.342,53.799,-0.131,-1.736,178.492,0.363,179.656
1775398771.076,2026-04-05 19:49:31,20.656,0.527,-70.546,60.741,345.595,-49.951,60.115,347.053,-71.37,33.857,346.018,-69.722,87.625,345.171,-49.764,31.787,347.053,-50.119,85.586,347.053,20.782,-28.954,1.458,0.999,-0.03,0.02,-0.355,53.799,0.001,-1.738,178.561,0.378,179.809
1775398793.535,2026-04-05 19:49:53,20.393,0.5,-90.719,59.269,345.913,-70.385,59.348,347.464,-90.705,32.412,347.023,-90.733,86.126,344.802,-68.767,32.556,347.757,-72.005,86.174,347.17,21.952,-26.713,1.844,0.998,0.004,0.057,-3.238,53.618,-0.587,0.218,175.965,3.491,178.242
1775398795.327,2026-04-05 19:49:55,19.448,0.477,-111.823,59.754,346.442,-92.492,60.443,348.452,-111.046,32.923,348.197,-112.601,86.585,344.687,-90.337,34.914,349.191,-94.857,88.46,347.641,21.487,-24.84,2.749,0.994,0.035,0.1,-4.521,53.546,-1.55,2.038,173.135,4.91,176.444
1775398795.828,2026-04-05 19:49:55,17.889,0.487,-113.609,63.554,346.526,-95.838,64.079,348.503,-113.016,36.724,348.375,-114.202,90.384,344.677,-95.144,37.881,349.335,-96.567,91.635,347.629,18.465,-25.673,2.809,0.994,0.029,0.105,-1.423,53.754,-1.705,1.683,172.786,1.614,176.416
1775398796.341,2026-04-05 19:49:56,17.877,0.486,-113.588,63.528,346.368,-95.853,64.056,348.552,-112.998,36.699,348.223,-114.178,90.358,344.512,-95.161,37.905,349.358,-96.583,91.66,347.701,18.427,-25.624,2.991,0.994,0.029,0.102,-1.423,53.755,-1.657,1.666,172.927,1.616,176.309
1775398796.869,2026-04-05 19:49:56,17.843,0.487,-113.542,63.53,346.279,-95.855,64.06,348.572,-112.949,36.697,348.078,-114.136,90.363,344.479,-95.164,37.901,349.483,-96.584,91.65,347.611,18.379,-25.628,3.204,0.994,0.029,0.103,-1.421,53.748,-1.871,1.665,172.931,1.624,176.27
1775398797.396,2026-04-05 19:49:57,17.839,0.487,-113.538,63.528,346.244,-95.866,64.063,348.617,-112.942,36.696,348.059,-114.135,90.36,344.43,-95.186,37.912,349.499,-96.583,91.663,347.686,18.352,-25.616,3.255,0.994,0.029,0.103,-1.397,53.751,-1.814,1.673,172.947,1.587,176.494
1775398797.907,2026-04-05 19:49:57,17.836,0.487,-113.541,63.547,346.32,-95.84,64.073,348.442,-112.94,36.711,348.081,-114.142,90.382,344.558,-95.156,37.902,349.263,-96.561,91.657,347.576,18.385,-25.645,2.943,0.994,0.029,0.105,-1.405,53.755,-1.687,1.678,172.914,1.593,176.453
1775398798.432,2026-04-05 19:49:58,17.829,0.486,-111.233,63.661,346.42,-93.572,64.171,348.806,-110.661,36.823,348.154,-111.805,90.499,344.686,-92.918,38.024,349.648,-94.262,91.778,347.916,18.315,-25.637,3.228,0.995,0.028,0.099,-1.344,53.754,-1.732,1.589,173.233,1.517,176.666
1775398798.963,2026-04-05 19:49:58,17.82,0.487,-108.032,63.686,346.813,-90.356,64.198,349.015,-107.451,36.852,348.596,-108.612,90.521,345.03,-89.683,38.039,349.85,-91.066,91.794,348.135,18.349,-25.647,3.037,0.995,0.028,0.097,-1.383,53.755,-1.715,1.609,173.268,1.562,176.686
